base_salary_max,base_salary_min,requirements,responsibilities,title,region,salary_mean
,13503.0,"ВРАЧ ГАСТРОЭНТЕРОЛОГ ПОЛИКЛИНИКИ, В/О, НАЛИЧИЕ СЕРТИФИКАТА ПО СПЕЦ. ГАСТРОЭНТЕРОЛОГИЯ. СОКРАЩ. РАБ. ДЕНЬ С 8.00-14.36, СТИМУЛ. ВЫПЛАТЫ","Оказывать квалифицированную медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации, разрешенные для применения в медицинской практике. Определять тактику ведения больного в соответствии с установленными правилами и стандартами. Разрабатывать план обследования больного, уточнять объем и рациональные методы обследования пациента. На основании клинических наблюдений и обследования, сбора анамнеза, данных клинико-лабораторных и инструментальных исследований устанавливать (или подтверждает) диагноз",Врач-гастроэнтеролог,Саратовская область,
0.0,50000.0,"- Высшее техническое образование в области микро и нано электроника   - Знание субмикронной КМОП технологии, методов сквозного проектирования   - Знание аналоговой и цифровой схемотехники   - Знание полупроводниковых КМОП, БиКМОП и BCD технологий   - Знание топологических методов   - Обязательное знание современных САПР: Cadence, MunEDA, Symica, MentorGraphics, Matlab","- Разработка топологии аналоговых и аналого-цифровых СФ блоков, заказных микросхем типа ASIC и SoC   - Проведение верификация топологии от СФ блоков до кристалла   - Интеграция заказных СФ блоков в проект, с последующей верификацией   - ESD, Latchup, IR, EM анализ   - Подготовка к запуску в производство, обеспечение поддержки",ИНЖЕНЕР-РАЗРАБОТЧИК / ИНЖЕНЕР-ТОПОЛОГ АНАЛОГОВЫХ ИС,Москва,25000.0
25000.0,20000.0,опыт работы не менее 3 лет  наличие медицинской книжки  исполнительность,"Заместитель (помощник) руководителя структурного подразделения. Осуществляет государственный лесной контроль и надзор на территории филиала. Осуществляет государственный пожарный надзор на территории филиала. Организует осуществление мер пожарной безопасности и тушения лесных пожаров на территории участкового лесничества. Обеспечивает соблюдение использования, охраны, защиты и воспроизводства лесов. Обеспечивает выявление фактов нарушения требований действующего законодательства. Взаимодействует с правоохранительными органами. Организует и проводит приемку работ по лесоустройству, охране защите и воспроизводству лесов",Участковый лесничий (старший государственный инспектор по охране леса),Приморский край,22500.0
18000.0,15000.0,"справка об отсутствии судимости, пройденный медосмотр, коммуникабельность","Педагог дополнительного образования осуществляет дополнительное образование обучающихся, воспитанников в соответствии со своей образовательной программой, развивает их разнообразную творческую деятельность. Комплектует состав обучающихся детского объединения и принимает меры по сохранению контингента обучающихся, воспитанников в течение срока обучения. Обеспечивает педагогически обоснованный выбор форм, средств и методов работы (обучения) исходя из психофизиологической и педагогической целесообразности, используя современные образовательные технологии, включая информационные, а также цифровые образовательные ресурсы",Педагог дополнительного образования,Курганская область,16500.0
65000.0,60000.0,"Высшее профессиональное образование по направлению ""Геология нефти и газа"" или ""Разработка и эксплуатация нефтяных и газовых месторождений"". Знание ПО (программное обеспечение) StarSteer, Geonaft, Geosteering office приветствуется, опыт работы не менее 2 лет в смежной должности. Владение основами методов геоинформационной системой и их интерпретации",Посадка ствола скважины. Осуществление геонавигации при бурении горизонтальных стволов скважин и скважин методом зарезки боковых стволов. Оперативное изменение траектории скважины на основе данных. Геологический контроль в процессе строительства скважин. Литологический анализ шламового и кернового материала. Контроль проведения пластоиспытаний,Ведущий геолог,Тюменская область (Ханты-Мансийский АО),62500.0
,35000.0,Добросовестное исполнение возложенных обязанностей и поручений,"опыт работы на руководящей должности по специальности от 3 лет. Организация деятельности отдела, разработка стратегии развития, проектов и текущих планов строительства и капитального ремонта университета, контроль за составлением утверждением проектно-сметной документации, организация необходимых текущих закупок, осуществление приемки объектов в эксплуатацию., разработка актов технического осмотра, дефектных ведомостей, подготовка документации по завершенным объектам для приемочной комиссии, контроль за своевременным вводом в эксплуатацию объектов. Уверенный пользователь ПК, знание программ EXCEL, WORD, AutoCAD, ""ГРАНД-Смета""",Начальник группы (в строительстве),Краснодарский край,
,86370.0,"Функциональные обязанности: сварка трубопроводов перлитного и аустенитного класса под контроль РГК или УЗК. Требования к знаниям: наличие действующей аттестации на выполнение сварных соединений ручной аргоно-дуговой сваркой не плавящимся электродом (РАД) и ручной дуговой сваркой покрытыми электродами (РД) трубопроводов АЭС 3 категории и выше, или аттестация по НАКС (РД,РАД) не трубопроводы химических, нефтехимических, нефтеперерабатывающих, взрывопожароопасных и котельных производств во всех пространственных положений шва.Отсутствие противопоказаний работы в условиях ионизирующего излучения и Районах Крайнего Севера","согласно должностной инструкции ""Электросварщик ручной сварки 3 разряда""",Электросварщик ручной сварки 3 разряда,Чукотский автономный округ,
30000.0,20000.0,"Знание правил монтажа мягких, наплавляемых, металлических кровель.Добросовестность, ответственность в работе.Кандидат с техническим складом ума.Опыт работы в профессии от года.Трудолюбие, физическая выносливость","Выполнение работ по ремонту и капитальному строительству Выполнение хозяйственных работ при обслуживании объектов (домов, объектов социально-культурного и бытового назначения).Проверка комплектующих Распил материала  проверка заготовок из ДСП на соответствие оформленным документам Производит распил заготовок нужного размера и формы из ДСП по специальнымзаказам Выполнение работ связанных с демонтажом/монтажом коробов Производство кровельных работ. Ремонт, капитальное строительство",Кровельщик по рулонным кровлям и по кровлям из штучных материалов,Тюменская область,25000.0
23000.0,18000.0,"Уметь организовывать свою работу, своевременно и квалифицированно выполнять распоряжения и поручения руководства","управление грузовыми автомобилями (автопоездами) всех типов  заправка автомобилей топливом, смазочными материалами и охлаждающей жидкостью  проверка технического состояния и прием автомобиля перед выездом на линию, сдача его и постановка на отведенное место по возвращении обеспечение корректного профессионального вождения автомобиля и технически исправное состояние самого автомобиля своевременная подача автомобиля под погрузку и разгрузку грузов, контроль за погрузкой, обеспечение надлежащей укладки и безопасного крепления и укрытия грузов во избежание их утраты и повреждения ",Водитель автомобиля 5 разряда,Новосибирская область,20500.0
21000.0,21000.0,"знания серверных ОС Windows 2008-2012 и инфраструктурных сервисов (AD, DNS, DHCP, WSUS, Hyper-V, Samba и т.д.)  опыт диагностики сбоев в работе оборудования, серверных и клиентских ОС  стрессоустойчивость, дисциплинированность, ответственность ","Обязанности: Обеспечение бесперебойной работы ИТ-инфраструктуры: телефонии, каналов передачи данных, доступа в Интернет, доступа к информационным базам данных, антивирусной защиты, резервного копирования и т.п.  Составление заявок на ремонт неисправного, приобретение нового и модернизацию устаревшего оборудования - серверов и рабочих станции, а также сетевого оборудования  Консультирование пользователей  Администрирование сервера на WinServer 2012",системный администратор (инженер-программист),Чеченская Республика,21000.0
,35000.0,"Высшее техническое или среднее специальное образование  Знание устройства технологического оборудования производства КНР, знание китайского языка, готовность к командировкам по краю и за рубеж, отсутствие вредных привычек ","Ведение технологического процесса и наблюдение за работой оборудования на установках II категории по переработке нефти, нефтепродуктов, газа, сланца и угля в соответствии с рабочими инструкциями.Ведение технологического процесса на установках I категории под руководством оператора более высокой квалификации.Контроль за соблюдением технологического режима, качеством сырья и вырабатываемых продуктов по показаниям контрольно-измерительных приборов и результатам анализов",Оператор технологических установок,Приморский край,
20000.0,20000.0,"Выполнение работы помощника руководителя. Умение работать с оргтехникой, знание электронного документооборота, кадрового делопроизводства, программы 1С (зарплата и кадры). Работа со СМИ, с грантами. Опыт работы от 3 лет. Образование высшее профессиональное (юридическое, педагогическое, экономическое, бухгалтерское). Жить рядом. Порядочность. Отсутствие судимости","Выполнение работы помощника руководителя. Умение работать с оргтехникой, знание электронного документооборота, кадрового делопроизводства, программы 1С (зарплата и кадры). Работа со СМИ, с грантами. Опыт работы от 3 лет. Образование высшее профессиональное (юридическое, педагогическое, экономическое, бухгалтерское). Жить рядом",Помощник руководителя и специалиста секретарь руководителя,Чеченская Республика,20000.0
45000.0,30000.0,Наличие среднегопрофессионального образования по профессии. Опыт работы от 1 года,"Выполняет анализы, предусмотренные стандартами, техническими условиями, технологическим регламентом производства  следит за исправным состоянием испытательного оборудования, средств измерения в лабораториях и принимает меры по устранению неисправностей, сообщает начальнику лаборатории  производит регистрацию, необходимые расчеты и записи результатов анализов в лабораторных журналах по установленной форме  своевременно и качественно проводит работы по приготовлению растворов  соблюдает правила техники безопасности, противопожарной безопасности, экологической безопасности и внутреннего трудового распорядка",Лаборант химического анализа 3 разряда-3 разряда,Ямало-Ненецкий автономный округ,37500.0
15200.0,15200.0,"классический и современный российский и зарубежный репертуар  классическую и современную хореографию  основы режиссуры и актерского мастерства и их применение к хореографическому искусству  историю театра, музыки и балета  основы музыкальной драматургии, основы организации театрального производства, трудового законодательства и авторского права  правила охраны труда, техники безопасности и противопожарной защиты","Участвует в работе по постановке новых и возобновлению ранее созданных балетных постановок, танцевальных номеров в операх, опереттах и других музыкальных спектаклях, музыкальных и танцевальных коллективах под руководством главного балетмейстера или балетмейстера - постановщика",Балетмейстер,Новосибирская область,15200.0
,12194.0,"исполнительность, ответственность, работоспособность","осуществляет контроль за исполнением лесниками своих должностных обязанностей  проводит разъяснительную работу среди населения по вопросам охраны, защиты лесов и порядка пользования и восстановления лесов  проверяет соблюдение лесопользователями лесного законодательства и выполнение договорных обязательств  составляет протоколы о выявленных нарушениях лесного законодательства  принимает меры по предупреждению и тушению лесных пожаров  руководит работами по лесоразведению, отводу лесосек и площадей под сенокошение, пастбищные угодья, побочное лесопользование  участвует в ревизиях обходов и выполняет по указанию лесничего др. работы",Мастер леса (участковый государственный инспектор по охране леса),Ивановская область,
24000.0,,Добросовестное исполнение должностных обязанностей и указаний руководителя,"Вести приемку, учёт, обеспечивать сохранность товаро-материальных единиц, имеющихся на складе, размещать их, с учетом рациональности применения складского пространства, для упрощения поиска необходимой продукции.2.2. Контролировать сохранность за вверенные ему товароматериальные единицы, соблюдать требуемые режимы хранения продукции, вести учёт внутренних действий по перемещению ценностей на складе. Вести установленную предприятием отчётность, соблюдая правила при сдаче и оформлении расходно-приходных ордеров и других финансовых документов. Организовать комплектацию, упаковку, подготовку товара при отгрузке",Кладовщик,Красноярский край,
35000.0,25000.0,"Добросовестно выполнять свои трудовые обязанности, соблюдать трудовую дисциплину  качественно и в срок выполнять задания и поручения, работать над повышением своего профессионального уровня  соблюдать требования по охране труда, технике безопасности и правила противопожарной безопасности. Наличие членства в Национальном реестре строителей (НРС НОСТРОЙ)","Осуществление строительного контроля при строительстве, реконструкции, капитальном ремонте зданий и сооружений, подготовка заданий на разработку проектных решений, осуществление обмерных работ с составлением дефектных ведомостей и ведомостей объемов работ, необходимых для дальнейшего проектирования и составления сметной документации",Ведущий инженер по надзору за строительством высшей категории (класса),Краснодарский край,30000.0
12130.0,12130.0,"Без предъявления требований к опыту работы и образованию, отсутствие судимости. Ответственность, коммуникабельность, дисциплинированность - приветствуется","обслуживающего персонала общежития. Осуществляет вселение прибывших в общежитие, следит за своевременностью и правильностью регистрации вселившихся и выписки выбывших из общежития граждан. Организует уборку помещений и контролирует соблюдение чистоты в спальных комнатах и местах общего пользования. Следит за исправной работой электросети, связи, водопровода, канализации и оборудования общежития. Обеспечивает выдачу и прием инвентаря и другого необходимого имущества. А также содержание и использование жилищного фонда и общежитий",Заведующий общежитием,Смоленская область,12130.0
,18000.0,"Должен знать виды, назначение, устройство, принцип работы оборудования и инструмента, необходимого для технического обслуживания вспомогательного оборудования котельных Правила ведения технической документации Виды, назначение, устройство, принцип работы вспомогательного оборудования котельных ","Устранение выявленных в процессе испытания неисправностей в пределах своей квалификации.Ремонт запорной арматуры с заменой прокладок и набивкой сальников. Информирование в случае выявления неисправностей работника более высокого уровня квалификации в установленном порядке.Частичная замена, подвальцовка, заглушение отдельных трубок теплообменника с подтягиванием болтов фланцев и перегородок",Слесарь по ремонту технологических установок,Тамбовская область,
35032.0,29000.0,Опыт работ с системами централизованного ведения НСИОпыт при проектировании систем централизованного ведения НСИОпыт построения многомерных классификаторовОпыт работ по интеграции разнородных НСИЗнание методики нормализации и гармонизации НСИЗнание программы 1С и технической документации,Организация работ по централизованному ведению нормативно-справочной информации Контроль унификации наименований позиций классификаторов Разработка и внедрение правил инструкций и регламентов по созданию элементов справочников Консультации и обучение пользователей по НСИ Мониторинг процессов ведения справочников НСИ Контроль за внесением и обновлением данных нормативно-справочных классификаторов,Начальник группы (в промышленности),Краснодарский край,32016.0
40000.0,30000.0,"Профессиональная подготовка. Осуществляет своевременное и достоверное составление кассовой отчетности.Выполнение кассовых онлайн операций, кассовых онлайн отчетностей","Осуществляет операции по приему, учету, выдаче и хранению денежных средств и ценных бумаг с обязательным соблюдением правил, обеспечивающих их сохранность.Принимает все меры для обеспечения сохранности вверенных ему денежных средств и ценных бумаг и предотвращение ущерба.Своевременно информирует администрацию о всех обстоятельствах, угрожающих сохранности вверенных ему ценностей.Осуществляет своевременное и достоверное составление кассовой отчетности.Выполнение кассовых онлайн операций, кассовых онлайн отчетностей",Старший кассир билетный,Ямало-Ненецкий автономный округ,35000.0
,120000.0,"опыт разработки Python/Django от 2 лет  умение пользоваться git  знание SQL  понимание принципов работы HTTP(S)  Желательно опыт разработки ПО на других языках программирования: Java, C#, C/C++  опыт успешной оптимизации SQL запросов  общая технологическая подкованность, знание жизненных циклов ПО, классических алгоритмов  опыт написания unit-тестов","Создание программ для ЭВМ и баз данных или их частей (и/или программных модулей, программного обеспечения, программных систем и операционных комплексов) и/или разработка, модификация, программирование части программы, программного модуля или блока, разработка структуры записи файла или файлов, входящих в состав базы данных, и т. п",Программист(ведущий),Санкт-Петербург,
22970.0,17080.0,"Выполнение работы по приемке и сдаче смены, чистке и мойке, дезинфекции обслуживаемого оборудования и коммуникаций, уборке рабочего места, приспособлений, инструмента, а также по содержанию их в надлежащем состоянии.Умение вести установленную техническую документацию","Стажировка.Обслуживание и настройка средств автоматики, смонтированных на обслуживаемых установках.2. Освоение и внедрение новых средств контроля и автоматического регулирования.2. Осуществление контроля за периодической проверкой приборов и сдачей их на Госпроверку.4. Составление дефектных ведомостей для текущего и капитального ремонтов.5. Прием выполненных ремонтных работ и проверка готовности приборов к пуску",Приборист 4 разряда,Вологодская область,20025.0
19575.0,13050.0,"Соискателям, имеющим высшее (техническое) образование без предъявления требований к стажу работы или средне-техническое образование и стаж работы по полученной специальности не менее 1 года","1. Обеспечение выполнения производственных заданий в соответствии с графиком проверки узлов учета расхода газа 2. Осуществление оперативного контроля за условиями эксплуатации средств измерений, правильностью монтажа, соответствием действующим нормативным документам узлов учета расхода газа покупателей 3. Производить опломбирование узлов учета расхода газа и байпасных линий 4. Осуществление контроля за наличием пломб 5. Оформление актов по результатам обследования узлов учета расхода газа",Техник-метролог (техник по метрологии),Ставропольский край,16312.5
,45000.0,"Отличное знание языков С++ (11/14/17 стандарты). Опыт разработки приложений/игр IOS, Android. Знание базовых алгоритмов и структуры данных, линейной алгебры. Опыт работы над клиент - серверным приложениями. Стремление к самообучению и профессиональному развитию в игровой индустрии. Самостоятельность и техническая грамотность. Приветствуется знание языков программирования и умение понимать чужой код. Опыт работы в команде. Рассмотрение кандидатуры после направления резюме на эл. адрес: job@mytona.com","Создают и поддерживают программный код, указанный в технических инструкциях и спецификациях для программных приложений и операционных систем. Выполнение родственных обязанностей",Младший программист,Республика Саха (Якутия),
25000.0,20000.0,"Опыт работы по специальности от 1 года Знание C# Навыки работы с базами данных. Знание SQL Опыт работы с системами контроля версий (Git, SVN) Желательно знание HTML‚ CSS‚ Javascript, Ajax Желание работать в команде и осваивать новые технологии Знание и понимание принципов применения гибких методологий.Приветствуются знания NodeJs, MongoDB","Опыт работы по специальности от 1 года Знание C# Навыки работы с базами данных. Знание SQL Опыт работы с системами контроля версий (Git, SVN) Желательно знание HTML‚ CSS‚ Javascript, Ajax Желание работать в команде и осваивать новые технологии Знание и понимание принципов применения гибких методологий.Приветствуются знания NodeJs, MongoDB",Старший инженер-программист 1 категории (класса),Тюменская область,22500.0
50000.0,50000.0,"- нанесение твердосплавного покрытия на стабилизаторы- кислородная и плазменная прямолинейная и горизонтальная резка сложных деталей из различных сталей, цветных металлов и сплавов - изготовление фрезов различной конфигурации- все виды электрогазосварочных работ- работа с немагнитными и цветными металлами - чтение чертежей любой сложности","- нанесение твердосплавного покрытия на стабилизаторы- кислородная и плазменная прямолинейная и горизонтальная резка сложных деталей из различных сталей, цветных металлов и сплавов - изготовление фрезов различной конфигурации- все виды электрогазосварочных работ- работа с немагнитными и цветными металлами - чтение чертежей любой сложности",Старший электрогазосварщик 6 разряда,Ямало-Ненецкий автономный округ,50000.0
20900.0,20000.0,Проживание в населенных пунктах Новороссийского сельского совета Алтайского района,"Стажировка. Участвовать в выполнении профилактических мероприятий во время проведения массовых сезонных обработок сельскохозяйственных животных, следить за правильным оформлением актов на проведенные обработки, составления списков обработанных животных Оформлять ветеринарно-сопроводительных документы Вести прием граждан, принимать жалобы заявления в установленном законом порядке Знать правила техники безопасности, электробезопасности, промышленной санитарии, личной гигиены, внутреннего распорядка и противопожарной безопасности Выполняет иные обязанности, в соответствии с порученным заданием",Ветеринарный фельдшер,Республика Хакасия,20450.0
88800.0,43800.0,"Высшее образование обязательно: ""Бухгалтерский учет, анализ и аудит""  ""Менеджмент"", ""Экономика"", ""Экономическая теория"", ""Юриспруденция"", ""Финансы"". Наличие не менее 4 лет стажа государственной (муниципальной) Службы или стажа работы по специальности, направлению подготовки. Способность к самообучению,мыслить аналитически","Проводит финансово-экономическую экспертизу проектов муниципальных правовых актов, по результатам экспертизы составляет экспертные заключения самостоятельно или в составе группы организовывает и проводит контрольные или экспертно-аналитические мероприятия оформляет по результатам контрольных мероприятий акты, проекты отчетов, представлений и предписаний",Аудитор,Камчатский край,66300.0
,11300.0,"Опыт работы от 3 лет. Разряд не ниже 3-го. Знание основ электросвязи: типы и назначение кабелей связи, правила прокладки и крепления кабелей с применением механизированного инструмента, способы включения телефонных аппаратов и батарей питания, способы защиты кабелей от ударов молнии и коррозии. Отсутствие дефектов речи","Установка деталей и арматуры для крепления и прокладки кабелей в шахтах, колодцах и по стенам. Установка кабельных барабанов на козла и домкраты. Разматывание кабелей, проводов, тросов, при ручной прокладке. Установка замерных столбиков. Окраска и нумерация концевых устройств. Монтаж шин заземления. Вентиляция смотровых колодцев. Разъездной характер работы",Монтажник связи - кабельщик 3 разряда,Тамбовская область,
17467.0,12130.0,"Диплом о среднем профессиональном образовании, квалификационная категория и сертификат. Оказывает квалифицированную медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации, разрешенные для применения в медицинской практике. Определяет тактику ведения больного в соответствии с установленными правилами и стандартами","Оказывает квалифицированную медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации, разрешенные для применения в медицинской практике. Определяет тактику ведения больного в соответствии с установленными правилами и стандартами",Зубной врач,Ростовская область,14798.5
0.0,30000.0,"Уверенный пользователь ПК,Грамотная устная и письменная речь, Быстрообучаемость,Желание работать и зарабатывать,Рассматриваем без опыта работы.  Свободный график от 4 часов в день, обучение бесплатное. Зарплата на банковскую карту раз в месяц + премиальные. Возможность карьерного роста,Работа на дому, рассматриваем кандидатов/соискателей с любых городов. Дополнительно:Чтобы попасть на собеседование, оставляйте отклик с указанием почты и телефона, чтобы мы могли с вами связаться","Помощь клиентам он-лайн и в чатах (без поисков и холодных продаж), Отправка дополнительных выгодных предложений и акций действующим клиентам,Обработка онлайн заявок на заказ с нашего магазина",администратор-консультант,Волгоградская область,15000.0
55000.0,50000.0,Наличие квалификации электросварщика ручной сварки. Должен знать и соблюдать правила и нормы противопожарной безопасности и охраны труда,"ручная дуговая сварка плавящимся покрытым электродом замененных элементов кузова вагон, деталей подвижного состава ручная дуговая сварка плавящимся покрытым электродом ответственных узлов рамы вагонаручная дуговая наплавка, резка плавящимся покрытым электродом посадочного места маятниковой подвески упорной балки с последующим контрольным замером шаблономручная дуговая наплавка плавящимся покрытым электродом отверстий кронштейнов ударной балки ручная дуговая резка плавящимся покрытым электродом отверстий в деталях подвижного состава",Электросварщик ручной сварки 4 разряда-5 разряда,Москва,52500.0
